ï»¿Date,Home,Away,HG,AG,H_Max,D_Max,A_Max,H_Avg,D_Avg,A_Avg,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG
13/11/2025,Ireland,Portugal,2,0,9.5,4.6,1.42,8.5,4.49,1.38,14,27,3,5,5,6,5,9,3,2,0,1,2.02,1.61
13/11/2025,Moldova,Italy,0,2,26,12,1.13,21.75,9.4,1.1,3,28,1,9,13,8,1,13,3,0,0,0,0.41,2.59
13/11/2025,Nigeria,Gabon,1,1,1.77,3.5,6.66,1.66,3.31,5.57,17,4,12,3,20,18,7,8,4,3,0,0,,
13/11/2025,Norway,Estonia,4,1,1.03,26,76,1.02,19.75,52.19,18,6,7,3,9,17,8,0,0,0,0,0,2.03,0.71
13/11/2025,Suriname,El Salvador,4,0,1.7,3.6,6.25,1.61,3.4,5.61,13,10,4,3,15,25,2,3,1,3,0,0,3.05,0.62
13/11/2025,United Arab Emirates,Iraq,1,1,2.38,2.75,4,2.26,2.67,3.78,19,10,4,5,9,11,9,7,0,1,0,0,1.33,0.58
15/10/2025,Curacao,Trinidad & Tobago,1,1,1.62,4,7,1.52,3.75,6.01,9,16,1,6,15,11,4,7,3,1,0,0,0.83,1.86
15/10/2025,El Salvador,Guatemala,0,1,3,3.1,2.6,2.92,2.89,2.47,6,4,1,2,17,17,3,0,1,2,0,0,0.29,0.19
15/10/2025,Jamaica,Bermuda,4,0,1.06,17,46,1.04,12.09,32.44,26,5,12,2,6,10,9,2,0,3,0,0,3.74,0.48
15/10/2025,Panama,Suriname,1,1,1.53,4.4,8.5,1.45,4,6.65,28,8,8,4,14,11,7,3,0,1,0,0,3.07,1.53
14/10/2025,Algeria,Uganda,2,1,1.5,4.25,7.25,1.45,3.98,6.71,8,7,5,3,17,16,7,0,1,2,0,0,,
14/10/2025,Andorra,Serbia,1,3,26,7.25,1.18,18.76,6.69,1.17,4,21,2,4,11,13,0,10,4,1,0,0,0.41,2.27
14/10/2025,Costa Rica,Nicaragua,4,1,1.15,9.5,26,1.12,7.47,18.82,21,7,10,2,17,11,7,3,2,2,0,0,2.5,0.21
14/10/2025,D.R. Congo,Sudan,1,0,1.36,5.5,12,1.3,4.83,9.47,9,3,3,0,,,7,2,2,2,0,0,,
14/10/2025,Estonia,Moldova,1,1,2.2,3.25,3.8,2.14,3.14,3.55,17,16,4,4,15,11,3,4,2,3,0,0,0.87,0.85
14/10/2025,Gabon,Burundi,2,0,1.36,5.5,13,1.29,4.74,10.56,14,2,7,0,,,6,4,1,1,0,0,,
14/10/2025,Guinea,Botswana,2,2,1.72,3.5,5.75,1.67,3.38,5.21,9,9,3,6,,,5,4,2,2,0,0,,
14/10/2025,Honduras,Haiti,3,0,2.2,3.2,3.75,2.09,3,3.58,18,12,8,3,18,16,7,2,3,1,0,0,1.85,0.42
14/10/2025,Ireland,Armenia,1,0,1.57,4.35,6,1.54,4.18,5.72,17,4,6,1,12,6,6,0,4,0,0,1,2.47,0.23
14/10/2025,Italy,Israel,3,0,1.2,8,15,1.17,7.38,13.79,16,8,6,2,12,10,4,3,2,1,0,0,2.11,0.78
14/10/2025,Ivory Coast,Kenya,3,0,1.14,9,34,1.11,7.46,24.24,14,1,8,0,,,2,2,0,1,0,0,,
14/10/2025,Latvia,England,0,5,56,15,1.05,42.65,13.76,1.04,6,24,1,7,11,5,2,9,4,1,0,0,0.41,2.4
14/10/2025,Morocco,Congo,1,0,1.05,17,61,1.03,12.81,41,8,1,4,0,9,18,10,0,1,3,0,0,,
14/10/2025,Nigeria,Benin,4,0,1.42,4.5,8.5,1.39,4.34,7.37,8,5,5,2,,,4,4,1,6,0,0,,
14/10/2025,Portugal,Hungary,2,2,1.23,7,14,1.21,6.53,12.15,20,17,8,7,7,12,5,4,2,2,0,0,2.5,1.88
14/10/2025,Qatar,United Arab Emirates,2,1,2.9,3.25,2.7,2.68,3.13,2.56,7,15,3,4,7,13,1,2,2,3,1,0,0.54,0.89
14/10/2025,Saudi Arabia,Iraq,0,0,1.57,4,7,1.54,3.67,6.26,15,4,4,1,13,13,0,1,4,2,0,0,0.69,0.27
14/10/2025,Senegal,Mauritania,4,0,1.14,8.5,29,1.12,7.15,20.88,14,8,12,4,,,2,3,1,1,0,0,,
14/10/2025,Seychelles,Gambia,0,7,41,15,1.06,30.53,11.59,1.04,4,18,1,15,,,0,6,2,2,0,0,,
14/10/2025,Somalia,Mozambique,0,1,12,5,1.38,8.76,4.43,1.33,2,6,0,2,12,11,4,7,1,1,0,0,,
14/10/2025,South Africa,Rwanda,3,0,1.22,6,21,1.19,5.66,15.56,12,2,6,0,11,19,7,4,3,4,0,0,,
14/10/2025,Spain,Bulgaria,4,0,1.02,30,81,1.02,22.07,60.47,33,3,11,0,7,6,11,0,0,0,0,0,3.96,0.38
14/10/2025,Turkey,Georgia,4,1,1.65,4.5,5.8,1.57,4.33,5.15,10,12,6,3,14,16,7,6,1,1,0,0,1.95,1.06
13/10/2025,Cameroon,Angola,0,0,1.3,5.25,13,1.27,4.82,11.44,10,8,6,3,12,20,5,4,2,3,0,0,,
13/10/2025,Cape Verde,Eswatini,3,0,1.15,9,34,1.12,7.05,20.18,12,3,6,0,7,3,7,1,2,3,0,0,,
13/10/2025,Equatorial Guinea,Liberia,1,1,3.5,3,2.6,3.15,2.87,2.38,7,3,2,1,,,2,5,3,4,0,0,,
